image_url,title,rating,price,inStock
../../../../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Sharp Objects,Four,£47.82,False
../../../../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,"In a Dark, Dark ...",One,£19.63,False
../../../../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,The Past Never Ends,Four,£56.50,False
../../../../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,A Murder in Time,One,£16.64,False
../../../../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,The Murder of Roger ...,Four,£44.10,False
../../../../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,The Last Mile (Amos ...,Two,£54.21,False
../../../../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,That Darkness (Gardiner and ...,One,£13.92,False
../../../../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,Tastes Like Fear (DI ...,One,£10.69,False
../../../../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,A Time of Torment ...,Five,£48.35,False
../../../../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,A Study in Scarlet ...,Two,£16.73,False
../../../../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,Poisonous (Max Revere Novels ...,Three,£26.80,False
../../../../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,Murder at the 42nd ...,Four,£54.36,False
../../../../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,Most Wanted,Three,£35.28,False
../../../../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,Hide Away (Eve Duncan ...,One,£11.84,False
../../../../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,Boar Island (Anna Pigeon ...,Three,£59.48,False
../../../../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,The Widow,Two,£27.26,False
../../../../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,Playing with Fire,Three,£13.71,False
../../../../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,What Happened on Beale ...,Five,£25.37,False
../../../../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,The Bachelor Girl's Guide ...,Five,£52.30,False
../../../../media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,Delivering the Truth (Quaker ...,Four,£20.89,False
